,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
73,Sold,Residential,Rural Residential,2.0,0.0,1.0,1028.0,0.25,2021,110332.103,2.0,107.32694844357977,2.0,3953.846153846154,0.0009727531833347925
74,Sold,Residential,Rural Residential,1.0,0.0,2.0,1038.0,1.0,2021,111531.365,1.0,107.44832851637766,0.5,1027.7227722772277,0.0019267637113322608
75,Sold,Residential,Rural Residential,2.0,0.0,3.0,1500.0,5.68,2015,127531.646,2.0,85.02109733333333,0.6666666666666666,263.62038664323376,0.001999986666755555
76,Sold,Residential,Rural Residential,2.0,0.0,2.0,1588.0,0.38,2023,99098.361,2.0,62.40450944584383,1.0,4071.7948717948716,0.0012594379128594909
77,Sold,Residential,Rural Residential,1.0,1.0,3.0,1300.0,0.48,2021,112730.627,1.5,86.71586692307692,0.5,2653.061224489796,0.0023076745563495667
78,Sold,Residential,Rural Residential,3.0,0.0,4.0,1800.0,0.5,2019,120605.469,3.0,67.00303833333334,0.75,3529.4117647058824,0.0022222098766117968
79,Sold,Residential,Rural Residential,2.0,0.0,2.0,1199.0,1.75,2017,126020.408,2.0,105.10459382819016,1.0,681.25,0.0016680428019782989
80,Sold,Residential,Rural Residential,1.0,1.0,3.0,1100.0,1.0,2017,126020.408,1.5,114.56400727272727,0.5,1089.1089108910892,0.00272724793410969
81,Sold,Residential,Rural Residential,2.0,0.0,2.0,1475.0,1.0,2016,130134.855,2.0,88.22702033898305,1.0,1460.3960396039604,0.001355923010691453
83,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1040.0,3.26,2022,110077.055,2.0,105.84332211538461,0.6666666666666666,318.04281345565755,0.0028845876481956904
84,Sold,Residential,Rural Residential,2.0,0.0,2.0,1620.0,0.39,2020,125843.023,2.0,77.68087839506173,1.0,4050.0,0.0012345602804920957
85,Sold,Residential,Rural Residential,3.0,0.0,3.0,1600.0,0.35,2020,125843.023,3.0,78.651889375,1.0,4444.444444444444,0.0018749882813232418
